Name,Translation
कुश्मा,kushma
शाहिस्ता,shahista
अम्रीता,amreeta
कर्श्मा,karshma
परमशेला,paramshela
मार्याना,maryana
सिला,sila
उमाशंकर,umashankar
सल्मी,salmi
मीरा,mira
अफ़शा,afsha
अमीशा,amisha
जयेश,jayesh
विक्की,vickey
विचक्षा,vicakha
त्रिपुरारी,tripurari
अभिजीत,abhijeet
नोरीन,noreen
निकिल,nikil
परदेशी,pardeshi
ईशवर्या,eshavarya
स्नेहा,sneha
नाथा,natha
रणजीत,ranjeet
प्यार,pyar
विप्ता,vipta
हरिसन,harison
सत,sat
सुर्गायनी,surgayani
सोमनाथ,somnath
शम,sham
अफ़्शार,afshar
एकनाथ,eknath
नाथी,nathi
ओमी,omi
मैरी,mairy
निर्मलजीत,nirmaljeet
तब्बुसुम,tabbusum
नूतन,nootan
मेघा,mega
सुफिया,sufiya
शुभं,shubhm
लावे,lave
विरेंद्र,virendra
विमुक्त,vimukt
पन्नालाल,pannalal
शाहना,shahna
अनिषा,anisha
आसगर,asgar
प्रेमलता,premlata
ओमा,oma
बालम,balam
तलविंदर,talvender
बंसी,bansi
गोसिया,gosia
दर्शन,darshan
संसर,samser
सौरब,saurab
शैना,shaina
आमरिन,aamrin
रिहान,rihan
मैना,maina
सैदास,saidas
कृतिका,kritika
हिम्मत,himmat
हिफ्जुल,hifjul
मछला,machhala
प्रदीप,prdeep
रोजमेरी,rojmeri
खैरु,khairu
तुल्शा,tulsha
हल्के,halke
हेमांति,hemanti
सीतेन्द्र,sitender
सुश्पाल,sushpal
राजश्री,rajshree
अतीक,ateek
बिजेन्द्र,bijendra
साध्वी,sadhvi
जावल,javal
सराफत,sarafat
किनिया,kiniya
रेपु,repu
अफ़्शाना,afshana
सुखवीर,sukhvir
समीक्षा,samiksa
अमिदा,amida
अरुणा,aruna
रहीम,rahim
डीपांडर,depander
विवेक,vivek
आतु,atu
सुष्मिता,sushmita
हरमनी,harmani
साहबबुदीन,sahabbudin
एकराम,ekram
मेसक,mesak
सरोज,saroj
जितिन,jitin
रणबीर,ranbir
मंसी,mansi
उपासना,upasna
रिंकी,rinki
केदारनाथ,kedarnath
विपन,vipan
चाहत,chahat
कालीचरण,kalicharan
केस्नाता,kesnata
जोत्यी,jotyi
आयशा,aaysha
नेशा,nesha
संवेदना,samvedna
टोनी,tony
तप्स्युम,tapsyum
केलामा,kelama
दामोदर,damodar
जाशिनल,jashinal
राहु,rahu
मोहब्बत,mohabbat
रोबी,robi
वंधना,vandhna
सब्बु,sabbu
इरतु,irtu
मुल्तान,multan
ताने,tane
पारतिभा,paratibha
तब्बसुम,tabbsum
रणजीत,ranjit
छितर,chhitar
श्कुंतला,shkuntala
हेम,hem
लाला,lala
एमिलिया,emilia
जनीद,janid
मुस्तक,mustaq
भागीरथी,bhagirathi
विशाखा,vishakha
तुर्वेनी,turveny
छिंदरपाल,chhinderpal
जनता,janta
शशाई,shashai
माधवी,madhvi
विक्की,vikky
डेटाटेर्या,dataterya
देवली,devli
जोकीपाई,jockyipai
नायना,nayna
छोटूम,chotum
गेनसिंघ,gensingh
परनीति,parniti
सुमेंत्रा,sumentra
कादम्बरी,kadambari
अम्रत,amrat
चौबे,chaubey
हीना,hina
गोटिया,gotiya
भटेरी,bhteri
एसएमटीएस,smts
आश,aash
ज़ैन,zain
कन्हेया,kanheya
योगेन्द्र,yognder
जुनेब,juneb
विशाल,vishal
सृष्टि,srishty
माइकल,mikel
काला,kala
झरना,jharna
हरिनारायन,harinarayan
मेघा,megha
वीरो,veero
गेंडू,gendu
चेत,chet
विश्वनाथ,vishvnath
जायदा,jayda
अकबरी,akbari
बुंदा,bunda
देनी,deni
रिथिक,rithik
मुकरम,mukaram
तारामती,taramati
सेष्टा,saeshta
धीरू,dhiru
हसीना,haseena
पर्वेन,parven
एडरसेन,adersen
मोरल,moral
अतनु,atanu
सोमि,somi
देवशीष,devashish
याश,yasha
सुनरकाली,sunarkali
दिलसाह,dilsah
पर्णव,parnav
मेटी,meti
पौल,paul
झांसी,jhansi
आरिंद्र,arindra
विश्वाश,vishvash
सिमा,sima
तुशल,tushal
अर्श,arsh
बीरजू,birju
अर्पणा,arpna
दीया,deeya
ओंकारेश्वर,omkareshwar
विनय,vinay
परवेज,parvej
सरीफ,sarif
दयाराम,dayaram
छाया,chhaya
किन्या,kinya
अनु,anu
अमनदीप,amandeep
रोशनलाल,roshanlal
विशामित्र,vishamitra
नराइनी,naraini
भज्जू,bhajju
सोरब,sorab
कैलाश,kailash
मेहर,mehar
रबिया,rabiya
बसराम,bsram
हसन,hasan
रहमती,rehmati
मुकुल,mukul
दोर्ड,dord
पारश्रम,parashram
धिसा,dhisa
बदरुल्ला,badrulla
तिसर,tisar
मनी,mani
पिंकी,pinky
जैनुब,jainub
मित्ठुन,mitthun
हरिहरन,hariharan
करिस्मा,karisma
शोभित,shobhit
रवि,ravi
प्रणय,pranay
कर्मी,karmi
विराट,virat
बदरजहां,badarjahan
मुकेश,mukesh
निहाल,nihal
नायमती,nayamati
नवेद,naved
वाशिला,vashila
मेहरू,mehru
वफ़ा,wafa
बलबीर,balbeer
तनिष्का,tanishka
नोट,not
योगेन्द्र,yogendr
जाग्रति,jagrati
विर्णित,virnit
रीतिमा,reetima
रजनी,rajni
हुर्जी,hurji
अमरमुला,amarmula
सिराजुद्दीन,sirajuddin
गुड्डीबाई,guddibai
रामधन,ramdhan
कुलभूषण,kulbhushan
लल्लू,lallu
पोगा,poga
अपर्णा,aparna
गणेशी,ganesi
हिरी,hiri
अभय,abhay
नूरजहा,noorjaha
हुकमचंद,hukamchand
प्रोमिला,promila
अभिशक,abhishak
कन्हया,kanhaya
मोमिना,momina
इंदरजीत,inderjit
दीराज,deeraj
पम्मी,pammi
जमीर,jamir
लावी,lavi
आसफक,asfak
अनरो,anaro
अबू,abu
सुरैया,suraiya
अर्हम,arham
नितेश,nitesh
मोहम्मद,mohd
परेम,parem
पर्वेश,parvesh
अशुतोष,asutosh
एक्तह,ektah
मनप्रीत,manpreet
अनादि,anadi
मुस्ताक,mustak
विसान,visan
जयंती,jayanti
दौलत,dolat
बोदू,bodu
उज्जैर,ujjair
सेजन,sejan
झांझरिया,jhanjhariya
एमएमटीए,mmta
ज़ाकिर,zakir
बबलू,bablu
जगदीश,jagdish
सौविक,souvik
सरबजीत,sarabjit
लाख,lakh
कांची,kanchi
समा,sama
रीतू,reetu
मीनू,meenu
गलू,galu
पालाराम,palaram
पर्वीन,parvin
मनलिसा,manlisa
दिलवर,dilvar
नबीजान,nabijan
अर्शी,arshi
बिरिज,birij
विमलेश,vimlesh
बौदी,baudi
दीपा,dipa
बाबुराम,baburam
नाजनी,najni
सजल,sajal
रुक्या,rukya
नीलकंठ,neelkant
रघुविंदर,raghuvinder
चोटे,chote
प्रमीला,prameela
रविनाथ,ravinath
गंगा,ganga
मोसीम,mosim
रामजीत,ramjeet
रितिका,ritika
नीलाद्री,nilaadrii
भूरा,bhura
रामबीर,rambir
ज़रीना,zarina
समीरुद्दीन,sameeruddin
जेन,gen
कमलदीप,kamaldeep
मोंटी,monty
रविंदरा,ravindera
मीना,mina
सेफ,safe
ब्रह्मानंद,brahmanand
शान,shan
मंशा,mansha
अबुल,abul
नबी,nabi
मामराज,mamraj
मार्जाना,marjana
यशपाल,yashpal
लाम्बा,lamba
नसरीन,nasreen
अभिलाश,abhilash
यमीन,yameen
वेशाली,veshali
पुनीता,puneeta
दीपांशु,deepanshu
सुखबीर,sukhbeer
मेघराम,megharam
लवप्रीत,lavpreet
संसार,sansaar
निशिथ,nishith
आफ़्फ़ान,affan
फैजल,faijal
गजना,gajana
मोनी,moni
दीप्ति,deepti
प्रबलीन,prableen
चेत्तन,chettan
आदेश,adesh
जगीर,jagir
कुमकुम,kumkum
सोहन,sohan
इस्त्यारा,istyara
हनीफ,hanif
बिंदिया,bindiya
मुदसीर,mudsir
जागरूति,jagruti
भीमसेन,bhimsen
भार्गव,bhargav
इंसी,incee
उदय,udaya
आस्मिन,aasmin
डाली,dali
प्रशांत,prasanta
नूरजहाँ,noorjahan
सुखराम,sukhram
जितेश,jitesh
चित्रांगदा,chitrangada
विक्रमजीत,vikramjeet
क़द्रिया,qadriya
जनमेश,janmesh
इतहसाम,etahsaam
अमर्त्य,amartya
विने,viney
मिश्री,mishri
स्नेहलता,snehlata
डेटा,data
कैलेश,kailesh
साहरुल,sahrul
खुशबू,khushbu
बिंदी,bindi
कुलबीर,kulbir
राजा,raja
शबना,shbana
सागरिका,sagrika
कुसुम,kusuma
रचना,rachna
बित्तु,bittu
कौशल्या,kaushalya
हानी,hanni
तोलाराम,tolaram
गायत्री,gaytri
अंकुर,ankur
महबूब,mahbub
आइजय,aijay
शाकिना,shakina
निजाम,nijam
तिन्वकल,tinvkal
येश,yesh
शजाद,shjad
हरिशेन,harishen
टेपु,tepu
सवीना,savina
वहाब,wahab
सागिता,sagita
सलीमा,salima
अजनबी,ajnabi
शाहरुख़,shahrukh
पंकजशील,pankajsheel
बेबी,bebi
नुरबी,nurbi
उम्मे,umme
कवल,kaval
मंजर,manjar
बेनय,benay
रेन,wren
आयुष,aayush
जीत,jit
सीथल,sithal
जाहिर,jahir
सोभा,sobha
विद्यादत्त,vidyadatt
खुशबू,khusbu
रिनेश,rinesh
नुसरत,nusrat
चज्जू,chajju
शिव्यालम,shivyalam
हरदास,hardas
अजाद,ajad
फेलीशिया,felicia
प्रांसिस,pransis
तारा,tara
सोहल,sohal
संगीत,sangit
हरबीर,harbir
भिसान,bhisan
नंदनी,nandni
भारत,bhart
उत्तम,uttam
धामेंद्र,dhamender
किरोरीमल,kirorimal
जेकब,jacob
चिरंजीवी,chiranjavi
नवल,naval
मनीसा,manisa
मानुष,manush
रिना/,rina/
चेतनराम,chetanram
सुभागी,subhagi
राजबीर,rajbeer
चंदर,chandar
अब्दुल्ला,abdulla
खुशबू,khushbhu
भुवनेश,bhuvanesh
रीमा,rima
राजल,rajl
विष्णु,vishnu
सोनाली,sonali
वाधव,wadhwa
बीनू,beenu
देबा,deba
आरिबा,ariba
सुफ़ियान,sufian
ललित,lalit
अन्नवी,annavi
प्रीत,preet
रफ़ीक,rafiq
ईशा,isha
पंचुराम,panchuram
जेठालाल,jethalal
रोबिन,robin
ताराचंद,tarachand
युवराज,yuvraj
नधीम,nadhim
प्राम,pram
सुहागिनी,suhagini
गुलरेग,gulreg
शाकिल,shakil
दीपू,dipu
रामुलु,ramulu
सविया,savia
अनुप,anup
नसरीन,nasrin
मोईनुद्दीन,moinuddin
अनुराज,anuraj
आभा,abha
यश्मिन,yashmin
छोटुदेवी,chhotudevi
जुमरती,jumrati
तानिया,taniya
राणा,rana
शेरू,sheru
जयंतदास,jayantadass
कमली,kamli
अख्तारी,akhtari
चोटन,chotan
मनोईश,manoish
प्रताप,pratap
कर्तार,kartar
मुर्जिना,murjina
सतपाल,satpal
आलिमा,alima
नाबल,nabal
आस्मिना,asmina
सेती,seti
साब्रिन,sabrin
देव्या,devya
लव,lav
वाशनवी,vashanavi
लोक,lok
आस्मिता,asmita
प्रामी,prami
मुस्तीकीम,mustikeem
हितेन,hiten
प्रिंकाया,prinkaya
जैन,jaina
रौनफ,raunaf
उमंग,umang
किल्लो,killo
किंगकार,kingkar
फकीर,phakir
सागीर,sagir
कामिनी,kamini
कोशल्या,koshalya
मातादीन,matadeen
देवांती,devanti
कुशुमलता,kushumlata
हजरत,hajrat
अल्लाराजी,allaraji
नसीफ,naseef
रमा,rma
दिलकुश,dilkush
गुलसना,gulsana
आशिफ,aashif
हासिबुल,hasibul
गोल्डन,goldan
जैवीर,jaiveer
दिलीप,dilip
राम्बा,ramba
हेलेना,hailena
फाईजा,faaija
निनी,nini
गजेन्द्र,gajender
मुन्निया,munnia
अनुष्का,anushka
सयदा,sayada
जपनीत,japneet
अंश,ansh
ओझा,ojha
सेंथिया,senthia
शाहीर,shahir
सनात,sanat
कूकी,kooki
सज्जु,sajju
सनंद,sanand
तोशीब,tosheeb
अफ़रीदी,afridi
सेखा,sekha
शाक्षी,shakshi
इंदर,inder
मुस्कुरान,muskuran
सरबजीत,sarabjeet
सोना,sona
रूबजान,rubjaan
मनफुल,manful
नजराना,najrana
नाथूलाल,nathulal
मुरारी,murari
अंजन,anjan
बेगम,begam
विक्रम,vikram
अदीबा,adiba
शबूब,shaboob
चित्र,chitra
सम्या,samya
परमजीत,parmjeet
ईशु,ishu
नन्हू,nanhu
सोसरी,sosari
हिटलर,hitlar
शिवचरण,shivcharan
वकील,vakeel
गुंजन,gunjan
कुश,kush
वागमारे,wagmare
ओमपरसाद,omparsad
करण,karan
जयपाल,jaipal
बेगराज,begraj
आशरफी,ashrfi
शंकुंतला,shankuntla
रामधनी,ramdhani
आयुष,ayush
नाजरीन,najreen
शानू,shanu
दीशू,dishu
ताहिर,tahir
आलम,aalam
अमृति,amrooti
विजय,vijay
बुलबुल,bulbul
अमोट,amot
बोबी,boby
रूपन,rupan
मैडम,madam
वंधना,vandhana
नोसी,nosi
यशधर,yashdhra
भुदेवी,bhudevi
नसीबू,nasibu
रखो,rakho
मंगलेश,manglesh
तरुण्नम,tarunnam
सृष्टि,srishti
अमृत,amrit
रूपा,rupa
दक्षिणा,dakshina
रामचंद्र,ramchandra
फिरोज़,firoz
कार्ति,kaarti
नूरीन,noorin
शंभू,shambhu
सरोजनी,sarojani
तिलकराम,tilakram
साबनाम,sabnam
जसपाल,jaspal
मनोरमपाल,manormapal
मोब्सहीरा,mobsheera
मेघ,megh
मंतोष,mantosh
गुरुजीत,gurjeet
जोगा,joga
विजेश,vijesh
जुलेखा,julekha
भभव,bhabhav
आरिंडोम,arindom
शेलेश,sheilesh
प्रशंसा,prashansa
तस्लीमा,taslima
श्कुंडला,shkundla
अमोल,amol
शशिद,shashid
विल्रम,vilram
आशिया,ashiya
पंकू,panku
संसीदा,samsida
सफिया,safiya
नाइसी,naisi
गर्व,garv
पुराण,puran
छोटीबाई,chotibai
नूरझान,noorjhan
मेथुन,methun
शिवम,sivam
जयदुल,jaidul
मोलू,molu
शोबिना,shobina
अमजत,amjat
कैफ,kaif
रूप,rup
कौशलिया,kaushaliya
शून,shun
मंती,manti
रणजीता,ranjeeta
ललथा,laltha
कर्षणा,karshana
श्यमो,shymo
यशोधा,yashodha
गीतु,geetu
केलाशी,kelashi
अमर्वेश,amarvesh
छानो,chhano
पाण्डेय,pandey
जयुती,jayuti
मनप्रीतकौर,manpritkour
आसिफ,aasif
प्रेमपाल,prempal
गौरवगिल,gauravgil
एलियास,eliyas
धर्मेन्द्र,dharmendra
सोहिल,sohil
गिविन्दा,givinda
सुप्यार,supyar
टिखालाल,tikhalal
भिस्मपाल,bhismpal
बेटी,beti
श्यामा,shyama
आकाश,akash
सिधारथ,sidharath
फूलबी,phulbi
सुखवीर,sukhveer
बलजीत,baljeet
सलीन,salin
रिषिपाल,rishipal
भूपेन,bhupen
बख्तवार,bakhtvaar
तमन्ना,tamana
राधे,radhe
अरविंद,aravind
मोशरी,moshri
रूपेन्द्र,rupender
बकीला,bakila
अभिशीक,abhishiek
धर्मराज,dharmraj
राजीव,rajeev
सर्वश,sarvash
मुबशिरा,mubshshira
राजकलि,rajkali
एकलव्य,eklavya
सिर्जना,sirjna
जरीम,jarim
मनोहर,manohar
शिवा,shiva
सुनहारा,sunhara
तारन्नुम,tarannum
श्मेझा,shmejha
पुष्पन,pushpan
झगड़ू,jhagdu
हिसामुद्दीन,hisamuddin
कन्ह्यालाल,kanhyalal
बुशारा,bushara
लल्तेश,laltes
सिप्रा,sipra
धर्मेंद्र,dharmendr
आशु,ashu
लिमका,limca
गुलशफा,gulshafa
ग्रोटी,groti
निक्षिया,niksiya
सुनतिया,suntia
अमरजीत,amarjit
अल्लाबक्ष,allabaksh
रुमाल,rumal
संधा,sandha
सुब्बुरायलु,subburaiyalu
मेहरुद्दीन,meharuddin
जयमती,jaimati
श्वेता,shveta
क़ैसर,qaisar
शब्बो,shabbo
गुरफ़ान,gurfaan
मेहताब,mehtab
बाबूपुरी,babupuri
कामरुलनिशा,kamrulnisha
बेगमपुर,begumpur
आलिया,alia
नहर,nahar
तेहमीना,tehmina
मुन्नेम,munnem
सुरेंद्र,surendr
आदित्य,aditya
व्येलेट,vyelet
शेलेश,shelesh
मितनू,mitnu
खस्ती,khasti
लाटूर,latur
प्रफुल,praful
कमरे,kamre
अकिलेश,akilesh
पप्पे,pappe
जयदीप,joydeep
निखिल,nikhil
सोरभ,sorabh
रिनी,rini
प्रवेश,pravesh
सैयदा,saiyada
रुचिका,ruchika
कोयल,koyal
मासूम,masoom
रोहिताश,rohthash
अर्जुन,arajun
यशिन,yashin
रामगोपाल,ramgopal
श्याम,syham
बाटसी,batasi
अमीजान,amijan
जैनफ,jainaf
गुलाफसा,gulafsa
धनंजय,dhananjay
अफसना,aphasana
कुमुद,kumud
मुकेश,mukish
महफूज,mahfooj
जीथ,jeeth
झोटी,jhoti
देवासीष,devasish
महेश्वर,maheshar
रामपाल,rampal
सुभांगी,subhangi
ओमपरकेश,omparkesh
साब्रीन,sabreen
झुन्ना,jhunna
अमित,amit
मानमती,maanmati
शुक्ल,shukla
रुबीना,rubina
प्रदीप,pradeep
इंसाफ,insaf
बिरान,biran
खेत्रा,khetra
चक्र,chakra
अलसीपा,alseepa
सिंतु,sintu
विजयंती,vijaynti
साका,saka
अनूज,anooj
अंतिम,antim
दन्वीर,danveer
ईशन,eeshan
क़ुरेशी,qureshi
रिना,rina
विचित्र,vichitra
वाजिद,vajid
अंकिता,ankita
मुदसीर,mudssir
अंगूरी,anguri
पंचुरी,panchuri
जसविंदर,jasvinder
अफसाना,afsana
जैकी,jacky
अम्रतलाल,amratalal
सिमरेन,simren
अभिसेक,abhisek
सारू,saru
चिंतन,chintan
बलदेव,baldev
कैलाकी,kailaki
भास्कर,bhaskar
चित्रांजन,chitranjan
शिमला,shimala
प्रिंश,prinsh
मेघना,meghana
राजिदेर,rajider
फाहिम,fahim
ब्रह्म,braham
चारनजीत,charnjeet
स्नेह,snah
नवी,navi
सुमित्रा,sumitra
जयचंद,jaichand
हरीस,harees
स्मृति,smariti
लैबा,layba
साकिल,sakil
जेस्मीन,jesmin
अर्चना,archana
प्राणब,prannab
जयगुण,jaiguna
सुलेंदर,sulender
रामब्रिज,rambrij
रदत,radat
सुधांशु,sudhanshu
देवेंद्र,devender
युनिश्स,yunishs
सज्जन,sajjan
ज़वेरी,zaveri
एमरान,emran
चंचल,chanchal
यशस्वी,yashsvi
जलील,jalil
प्रामिल,pramil
प्रभाश,prabhash
अरमान,arman
बुइटी,buity
सतबीर,satbir
रामेन्द्र,ramender
रूशाली,rushali
परी,pari
तंजीमा,tanjima
नैंसी,nancy
सोबी,sobi
आसरफी,asarfi
कलीम,kaleem
सदोद,sadod
धन्ना,dhanna
रामकेश,ramkesh
शकुंतला/बेबी,shakuntla/baby
नमरा,namra
मोगली,mogli
पुष्पा,puspa&
मस्तान,mastan
नौशी,naushi
अभिषेक,abhishek
साहिब,sahib
लाजा,laja
साहेब,saheb
गुलाशन,gulashan
वर्षिनि,varshini
बसंती,basnti
रामकुमारी,ramkumari
रियाजुद्दीन,riyajuddin
प्रेमनारायण,premnarayan
हेमांशु,hemanshu
पयना,payana
रहमत,rahmat
बालक,balak
बिंडा,binda
हरजीत,harji
शिवनाथ,shivnath
परसंजीत,parsanjeet
पदम,padam
भुवनेश्वरन,bhuvaneshwaran
श्री,shree
जगताप,jagtap
मिश्रीलाल,mishrilaal
सफिया,safia
भोला,bhola
धनी,dhani
मैरी,mairi
हार्डिक,hardik
आशिक,ashik
गुरुदयाल,gurdayal
इलेमा,ilema
पूर्णिमा,poornima
तमन्ना,tamnna
लक्षित,lakshit
भ्रमानंद,bhramanand
पद्मा,padma
करंदीप,karandeep
देयजी,deyji
तबस्सुम,tabssum
सलेश,salesh
नौसाद,nausad
नंदा,nanda
गौरव,gourav
जिले,jile
प्री,pree
मल्लिका,mallika
निशा,nisha
पार्काश,parkash
रिचराज,richaraj
काशुम,kashum
खुसबू,khusaboo
सुष्मेंद्र,sushmendra
योगिंद्र,yoginder
सजमा,sajma
नायका,nayaka
समिरों,samiron
सनो,sano
मांडवी,mandvi
खुशनसीबा,khushnasiba
सुखपाल,sukhpal
विजेंद्र,vijendra
जूली,julee
कवित,kavit
प्रेमचंद,premchand
हादराली,hadarali
बसंत,basant
छोटू,chotu
ईश्वर,eshwar
श्रीदेवी,sridevi
सवीना,saveena
मुन्नू,munnu
जहां,jahan
आमोश,aamosh
गोर्व,gorv
रेहान,rehaan
जीसु,jisu
गोरव,gorav
बिप्नेश,bipnesh
बग्गा,bagga
शर्मीली,sharmili
पुष्पेन्द्र,pushpendra
ननका,nanka
विपुलंद्र,vipulander
आशरा,ashra
आसंति,asanti
अर्नुब,arnub
रूप,roop
सरोजा,saroja
गोमती,gomati
रौफ,rauf
अंशुम,anshum
तुलसी,tulsi
अमर्त,amart
बिमलेश,bimlesh
बिट्टो,bitto
प्रफूल,prafhool
शोभाराम,shobharam
धीराज,dhiraj
अर्णव,arnav
शाहजाद,shahjad
सिदार्थ,sidarth
रियासत,riyasat
ओवैस,owais
बंती,banty
चेतन,chetan
परतुल,partul
मंगला,mangala
सुलेखा,sulekha
आनिल,aanil
बुधराम,budhram
जोसिन,josin
सीलम,seelam
जैविंद,jaivind
सत्तू,sattu
रादा,rada
सिरिष,sirish
काशी,kashi
अर्शला,arshla
पंकुज,pankuj
शैली,shaili
मुदासर,mudasar
जगदम्बा,jagdamba
वरद,varad
अलीना,alina
भानुप्रिया,bhanupriya
रुबीना,rubbina
चंदो,chando
निखत,nikhat
शिल्पी,shilpi
बिजनेस,busness
शौरभ,shaurabh
नंदी,nandi
कोसल्या,kosalya
बुंधू,bundhu
मन्सूर,mansoor
रोहिताश,rohtash
दीपन,deepan
मंसूर,mansur
सिध्रथ,sidhrath
पुषपा,pushapa
जिसान,jisaan
सुरेंदर,surendar
शठी,shathi
अशफाक,ashfaq
नीतू,nitu
हांदू,handu
संतलाल,santlal
खजन,khajan
वीरमती,veermati
नैंशी,nainshi
गरुपाल,garupal
मुरली,murli
शक्तिंसाना,shakhtnsana
विभाष,vibhash
खशबू,khashbu
विन्देश्वर,vindeshver
खुशल,khushal
हमीदा,hamida
लज्जावती,lajjavati
मकरूद,makrud
मैंका,mainka
अक्षरा,akshara
जसिना,jasina
अर्णब,arnab
बोध,bodh
त्रनूम,tranoom
गुरप्रीत,grpreet
प्रियंका,priyanka
शुशील,shushil
सरांश,saransh
राधेश्याम,radheshyam
राजकुमारम,rajkumarm
रश्मि,rashimi
हाशिम,hashim
रविशंकर,ravishankar
विपिव,vipiv
पोपिंदर,popinder
जीतू,jeetu
इस्लाम,islam
यमन,yaman
फॉर,for
राजन,rajan
वीणिता,veenita
नासर,nasar
धुर्पति,dhurpati
तम्सा,tamsa
कनिष्कराज,kanishakraj
खालिद,khalid
रामनिहोर,ramnihor
केशर,keshar
काली,kali
सोमिल,somil
बदश्या,badshya
कोहिनूर,kohinoor
शाहगुज्ता,shahgujta
नसीम,nasim
सापिता,sapita
सायरा,sayra
जीतेंद्र,jitendera
मोहम्मद,mohammad
सुमिंदर,suminder
सागर,sagar
संभू,sambhu
तिना,tina
राकेश,rakesh
कोकिल,kokil
समीना,sameena
महमुन,mahmun
रूपलाल,ruplal
मोहनी,mohani
गोपाल,gopal
आयशा,aysha
दीपांकेर,deepanker
लखमी,lakhami
मयूषी,mayushi
करिशमा,karishama
कमल,kamal
अजरा,ajra
काशिव,kashiv
राखी,rakhee
किफायत,kifayat
ज्ञार्सी,gyarsi
आफताब,aaftab
धर्मिंद्र,dharminder
ज्योति,jyoty
नरसिंह,narsingh
पलक,palak
राजिया,rajia
दीपाली,deepali
गोरी,gori
सरदीप,sardeep
मुस्तकी,mustki
ज़ोया,zoya
सिरा,sira
हीना,heena
एद्रिस,edris
सागित,sagit
केश्राम,keshram
तस्नीम,tasnim
आशांजलि,ashanjali
जोमिया,jomiya
निखाद,nikhad
उरेन्द्र,urendra
जसमिना,jasmina
सुमिता,sumita
हरीश,harish
धन्नू,dhannu
पोनीम,poneem
रुक्कसना,rucksana
रजनीश,rajneesh
आस्था,aastha
रोहिणी,rohini
शारिब,sharib
सुप्रियाल,supriyal
समे,same
शेह,sheh
जुगनी,jugani
जशगुल,jashgul
जंतर्पाल,jantarpal
शयम,shayam
ओजश्वी,ojashwi
मंजूषा,manjusha
शिवलाल,shivlal
ताहिरा,tahira
पर्भात,parbhat
बहालें,bahalen
वेरोनिका,veronika
सुजीत,sujit
जुगन,jugan
सुजली,sujli
जगेंदर,jugender
साहिद,sahid
दुमनिक,dumnik
हरपाल,harpal
मुस्तकीम,mustkim
अनीश,anish
शांता,shanta
गिरधरी,girdhari
मोहम्मद,mohmad
सानिया,saniya
जटिन्द्र,jatinder
बेक,bake
नाईमा,naima
सनीता,sanita
नारायण,narayan
मनेंद्र,manender
रानी,rani
जिशांत,jishant
ज़ैनब,zainab
गुलनांज,gulnanj
श्यान,shyan
मनोष,manosh
हुसैना,husina
मखान,makhan
रूबी,rubby
गुलसिदा,gulsida
रशीदा,rashida
इसनेश,isnesh
साहीन,saheen
बबूल,babul
दीपांशु,dipanshu
दशरथ,dasharath
सुनप्रीत,sunpreet
सकीना,sakeena
अंजली,anjaly
सुगाई,sugai
मोहसीना,mohsina
बोबी,bobi
खुर्सिद,khursid
तौशिफ,taushif
शिएना,shiena
नुपुर,nupur
सजीदा,sajida
आमोद,aamod
गिरिराज,girraj
रणजू,ranju
पुष्पांजलि,pushpanjali
अफ़सारी,afsari
मुन्नादेवी,munnadevi
साइंकी,sainky
आतिकून,aatikun
हुमेरा,humera
चन्द्रमणि,chandermani
वाघमारे,waghmare
हरिराम,hariram
महताब,mahtab
अन्नो,anno
सिल्विया,silvia
मीरामाई,meeramai
कृष्ण,krishn
चमनलाल,chamanlal
रोशन,roshan
सौहाल,sauhal
मोनी,mony
गुलाफशान,gulafshan
सिमरनजीत,simranjeet
सत्येन्द्र,satyender
भूपेन्द्र,bhupendra
गंगाजली,gangajali
आशा,aasha
इंद्रेश,indresh
पचुराम,pachuram
रमें,rame
अउसफ,aoosaf
नाजिमुद्दीन,najimuddin
शिवम्,shivam
उधम,udham
विनयसिंह,vinaysingh
साहिना,sahina
परजिंदर,parjinder
साहिरा,sahira
तरुण,tarun
सपना,supna
भोलू,bholu
आश्मि,ashmi
अभिनय,abhinay
मधुसूदन,madhusudan
कात्यायनी,katyayani
शानीचारी,shanichari
पुनीत,puneet
शयमा,shayma
लॉंग,long
समाध,samadh
रामजनी,ramjani
उपासना,upasana
काबुल,kabul
सहजहा,sahajha
राजेंदर,rajender
इनायत,inayat
सोकट,sokat
मनुजा,manuja
बुधू,budhu
मिंका,minka
शुष्मा,shushma
फ़रूक़,farook
फ़रीदा,farida
भविष्य,bhavishya
सोफली,sofali
संतरो,santro
हरबंसचौहान,harbanschauhan
रहनुमा,rahnuma
रत्नेश,ratnesh
जयोत्ली,jayotli
परदीप,perdeep
शिया,shiya
हरलीन,harleen
ब्यूटी,beeuty
अंजू,anju
साकिरान,sakiran
सनव्वर,sanavvar
मक़सूद,maqsood
गुरुमेल,gurmel
लालू,lalu
रितु,ritu
सुष्मा,sushma
सूरज,suraj
वंश,vansh
शमीमा,shamima
सुष्मिता,sushhmita
सुप्रिया,supiriya
किरण,kirann
हरनीत,harneet
भूपेन्द्र,bhupendar
सरताज,sartaj
हरदाम,hardam
सयना,sayana
तन्वी,tanvi
मिलखी,milkhi
सतीश,satish
धर्मवीर,dhrmveer
शोकराजी,shokraji
हृतिक,hritik
राधिका,radhika
कलेराम,kaleram
जेनिफर,jenifer
डेओउ,deou
आशीष,ashish
